year,age,sex,race,indicator,value,lower,upper,unit,source,category,subcategory,description
2016,Overall,Female,Overall,Physical Inactivity,22.8,17,30,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Social Determinants of Health,No Subcategory,No Description
2017,Overall,Male,Overall,Physical Inactivity,14.5,9.6,20.6,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Social Determinants of Health,No Subcategory,No Description
2017,Overall,Female,Overall,Physical Inactivity,16.2,10.8,22.8,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Social Determinants of Health,No Subcategory,No Description
2018,Overall,Male,Overall,Physical Inactivity,17,10.8,24,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Social Determinants of Health,No Subcategory,No Description
2018,Overall,Female,Overall,Physical Inactivity,19.7,13,27.5,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Social Determinants of Health,No Subcategory,No Description
2019,Overall,Male,Overall,Physical Inactivity,22.1,15.5,28.9,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Social Determinants of Health,No Subcategory,No Description
2019,Overall,Female,Overall,Physical Inactivity,24.8,17.6,32.5,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Social Determinants of Health,No Subcategory,No Description
2020,Overall,Male,Overall,Physical Inactivity,18.4,12.7,26,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Social Determinants of Health,No Subcategory,No Description
2020,Overall,Female,Overall,Physical Inactivity,21,14.9,28.3,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Social Determinants of Health,No Subcategory,No Description
2021,Overall,Male,Overall,Physical Inactivity,17.5,12.6,24.4,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Social Determinants of Health,No Subcategory,No Description
2021,Overall,Female,Overall,Physical Inactivity,20.7,14.7,27.4,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Social Determinants of Health,No Subcategory,No Description
2004,Overall,Overall,Overall,Diagnosed Diabetes,6.5,4.6,8.8,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2005,Overall,Overall,Overall,Diagnosed Diabetes,6.4,4.3,9,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2006,Overall,Overall,Overall,Diagnosed Diabetes,6.7,4.6,9.4,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2007,Overall,Overall,Overall,Diagnosed Diabetes,8.9,6.8,11.6,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2008,Overall,Overall,Overall,Diagnosed Diabetes,8.8,6.6,11.1,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2009,Overall,Overall,Overall,Diagnosed Diabetes,8.1,6,10.5,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2010,Overall,Overall,Overall,Diagnosed Diabetes,8.7,6,12.2,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2011,Overall,Overall,Overall,Diagnosed Diabetes,8,5.7,11,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2012,Overall,Overall,Overall,Diagnosed Diabetes,8.1,5.8,10.6,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,Overall,Overall,Overall,Diagnosed Diabetes,6.8,4.7,9.8,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,Overall,Overall,Overall,Diagnosed Diabetes,8.2,5.9,10.9,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,Overall,Overall,Overall,Diagnosed Diabetes,9.2,6.3,12.7,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2016,Overall,Overall,Overall,Diagnosed Diabetes,8.5,6.1,11.6,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2017,Overall,Overall,Overall,Diagnosed Diabetes,9.1,6,12.9,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2018,Overall,Overall,Overall,Diagnosed Diabetes,8.6,5.4,13,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2019,Overall,Overall,Overall,Diagnosed Diabetes,7.5,4.8,10.5,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2020,Overall,Overall,Overall,Diagnosed Diabetes,7.8,5.1,11.4,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2021,Overall,Overall,Overall,Diagnosed Diabetes,8.5,6.1,12,"Age-Adjusted Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Black (Non-Hispanic),All Stroke,53.7,38.8,69.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Hispanic,Heart Failure,383.9,304.5,500.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Black (Non-Hispanic),Heart Failure,469.2,393.7,578.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 35-64 years,Men,Overall,Coronary Heart Disease (chd),219.2,191.4,250,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Black (Non-Hispanic),Cardiovascular Disease (cvd),380.8,315.2,446.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Black (Non-Hispanic),Heart Failure,30.3,22.2,44.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Black (Non-Hispanic),All Heart Disease,317,266.8,366.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Women,Overall,Cardiovascular Disease (cvd),135.6,121,154.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Hispanic,All Heart Disease,1507.2,1320.5,1752.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Men,Overall,Coronary Heart Disease (chd),2055.1,1874.3,2255.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Black (Non-Hispanic),Cardiovascular Disease (cvd),3041.8,2768.8,3359.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Black (Non-Hispanic),All Heart Disease,2422.7,2031.1,2723.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Overall,Cardiovascular Disease (cvd),205.6,185.1,228.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Hispanic,Coronary Heart Disease (chd),90.1,69.5,115.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,White,All Heart Disease,1952.6,1815.3,2091.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Men,Overall,Heart Failure,18.3,14.2,24.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Overall,All Heart Disease,2009,1876.6,2142.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Hispanic,All Stroke,21,17.3,26.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Black (Non-Hispanic),Coronary Heart Disease (chd),267.2,213.3,331.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Men,Overall,All Heart Disease,248.6,216.6,278.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Overall,Coronary Heart Disease (chd),143.3,127.5,161.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Women,Overall,Cardiovascular Disease (cvd),2269.8,2111.3,2422.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Black (Non-Hispanic),All Stroke,486.4,405.1,595.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,White,All Heart Disease,161.1,138.7,180.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Men,Overall,Heart Failure,518.4,444.4,617,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 35-64 years,Women,Overall,All Stroke,22,18.3,27.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Women,Overall,Coronary Heart Disease (chd),81.6,70,96.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Hispanic,All Stroke,437,346.1,539.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Hispanic,Cardiovascular Disease (cvd),2100,1775.7,2452.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Hispanic,Cardiovascular Disease (cvd),149.4,119.5,179.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,White,All Stroke,433.4,381.6,501.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Overall,Heart Failure,13.5,10.7,17.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 65 years and older,Women,Overall,Coronary Heart Disease (chd),1356.3,1227.3,1485.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Men,Overall,All Stroke,457.2,393.1,535.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Black (Non-Hispanic),Coronary Heart Disease (chd),1909.9,1648.2,2198.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Men,Overall,Cardiovascular Disease (cvd),298.7,268.4,332.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Asian/Pacific Islander,Heart Failure,4.8,3.7,6.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Overall,All Stroke,440.5,392.6,494,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Asian/Pacific Islander,All Heart Disease,50,39.6,70.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Women,Overall,All Stroke,426.9,376,484.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,White,Coronary Heart Disease (chd),1629.8,1515.3,1752.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Hispanic,Heart Failure,10.6,8,14,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 65 years and older,Overall,White,Heart Failure,432.5,385.8,487.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Asian/Pacific Islander,All Stroke,18,13.7,23.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Overall,Coronary Heart Disease (chd),1645.1,1521.2,1761,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Overall,All Heart Disease,179.7,159.9,200.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Women,Overall,All Heart Disease,1695.1,1570.9,1817.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,White,Cardiovascular Disease (cvd),183.3,163.3,209.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Hispanic,All Heart Disease,119.2,100.2,149.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Men,Overall,All Stroke,29.1,22.7,36.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,White,Coronary Heart Disease (chd),130,112.1,151.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Asian/Pacific Islander,Cardiovascular Disease (cvd),75.5,50.3,110.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Overall,Cardiovascular Disease (cvd),2581,2450.4,2733,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,White,Cardiovascular Disease (cvd),2545.3,2400.2,2703.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Overall,All Stroke,25.6,21.1,30,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,Asian/Pacific Islander,Coronary Heart Disease (chd),40.4,30.9,53.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Overall,White,All Stroke,21.3,16.6,27,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Overall,Heart Failure,435.3,392.6,483.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 35-64 years,Overall,White,Heart Failure,10.9,8.1,14.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 65 years and older,Men,Overall,All Heart Disease,2444.1,2261.8,2603.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Overall,Hispanic,Coronary Heart Disease (chd),1117.2,880.4,1448.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 35-64 years,Women,Overall,Heart Failure,9.6,7.3,12.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 35-64 years,Women,Overall,All Heart Disease,108.8,96.6,122.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
1999,Ages 65 years and older,Women,Overall,Heart Failure,399.1,339.7,472,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
1999,Ages 65 years and older,Men,Overall,Cardiovascular Disease (cvd),3107.5,2886.7,3338.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Overall,White,Coronary Heart Disease (chd),1348.5,1240.8,1458.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Women,Overall,All Heart Disease,1455,1353.6,1572.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Hispanic,All Heart Disease,103.2,84.7,123.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Asian/Pacific Islander,Cardiovascular Disease (cvd),69.4,49,97.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Women,Overall,All Stroke,454.1,406.7,501,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Overall,Overall,All Stroke,456.3,413,506.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Overall,Coronary Heart Disease (chd),128.9,116.6,143.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Asian/Pacific Islander,All Heart Disease,46.3,36.6,57.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Overall,White,All Stroke,453.6,404.9,506.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Asian/Pacific Islander,Heart Failure,4.8,3.1,6.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2000,Ages 65 years and older,Overall,Overall,All Heart Disease,1658.7,1560.5,1751.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Women,Overall,Coronary Heart Disease (chd),1106.7,1008.3,1203.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Women,Overall,All Heart Disease,94.8,83.4,108.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Overall,White,All Heart Disease,1678.1,1569.2,1798.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Hispanic,Heart Failure,11.2,8.5,14.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2000,Ages 65 years and older,Women,Overall,Cardiovascular Disease (cvd),2029.7,1907.9,2151,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Men,Overall,Heart Failure,18.7,14.9,25.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2000,Ages 35-64 years,Women,Overall,Cardiovascular Disease (cvd),120,107,138.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Black (Non-Hispanic),All Heart Disease,279.7,240.6,321.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Overall,Hispanic,Heart Failure,368.9,289.4,462.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2000,Ages 65 years and older,Women,Overall,Heart Failure,408.8,362,465.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2000,Ages 65 years and older,Men,Overall,All Heart Disease,2096,1959.1,2252.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Black (Non-Hispanic),All Stroke,52.7,40.8,66,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Hispanic,Cardiovascular Disease (cvd),131.9,108.5,160.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Men,Overall,Cardiovascular Disease (cvd),276.6,250.5,305.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Men,Overall,All Stroke,454.6,396.8,522.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Black (Non-Hispanic),Coronary Heart Disease (chd),230.5,184.8,285.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Black (Non-Hispanic),Heart Failure,30.7,22.4,41.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Overall,Cardiovascular Disease (cvd),191.5,176.4,211.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Overall,Black (Non-Hispanic),Heart Failure,464,388,553.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2000,Ages 35-64 years,Overall,White,Coronary Heart Disease (chd),120.5,106.6,135.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Men,Overall,Coronary Heart Disease (chd),1706.3,1562.6,1867.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Men,Overall,Coronary Heart Disease (chd),195.8,171.2,220.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Overall,Hispanic,Cardiovascular Disease (cvd),1882.7,1568.2,2161.5,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Overall,Hispanic,Coronary Heart Disease (chd),968.9,772.4,1170.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,White,Heart Failure,12,9.1,15,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2000,Ages 65 years and older,Men,Overall,Cardiovascular Disease (cvd),2718.4,2545.5,2905.3,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Overall,Hispanic,All Heart Disease,1337.7,1137.1,1522.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Hispanic,Coronary Heart Disease (chd),76,57.8,95.4,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Men,Overall,Heart Failure,515.5,449.3,587.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
2000,Ages 35-64 years,Overall,White,Cardiovascular Disease (cvd),173.2,153.8,197.8,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Hispanic,All Stroke,22.9,17.8,28,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,White,All Heart Disease,145.9,127.4,162.6,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Men,Overall,All Stroke,30.8,25.1,38.1,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 65 years and older,Overall,Black (Non-Hispanic),Coronary Heart Disease (chd),1473.5,1261.6,1690,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Women,Overall,Coronary Heart Disease (chd),66.1,54.8,79.7,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Black (Non-Hispanic),Cardiovascular Disease (cvd),356.4,297.2,420.9,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Mortality,No Subcategory,No Description
2000,Ages 35-64 years,Overall,Overall,Heart Failure,14.4,11.9,17.2,"Age-Standardized, Spatiotemporally Smoothed Rate, per 100,000",HDSM,Diseases and Lifestyle Conditions,No Subcategory,No Description
